gamename,year,month,avg,gain,peak,avg_peak_perc,
Counter-Strike: Global Offensive,2021,February,741013,-2196,1123485,66%,
Dota 2,2021,February,404832,-27840,651615,62%,
PLAYERUNKNOWN'S BATTLEGROUNDS,2021,February,198958,-2290,447390,44%,
Apex Legends,2021,February,120983,49216,196799,61%,
Rust,2021,February,117742,-24375,224276,53%,
Team Fortress 2,2021,February,101231,18083,133620,76%,
Grand Theft Auto V,2021,February,90648,-10603,146438,62%,
Tom Clancy's Rainbow Six Siege,2021,February,72383,-5335,113338,64%,
Rocket League,2021,February,53723,-5726,103429,52%,
Path of Exile,2021,February,46920,-766,90539,52%,
Football Manager 2021,2021,February,53572,-2410,91247,59%,
ARK: Survival Evolved,2021,February,61786,-1374,98637,63%,
Destiny 2,2021,February,59394,14529,131640,45%,
Sid Meier's Civilization VI,2021,February,41715,4984,68161,61%,
PAYDAY 2,2021,February,26165,-3036,44327,59%,
Wallpaper Engine,2021,February,41441,-3206,60437,69%,
Warframe,2021,February,39210,3086,61032,64%,
Euro Truck Simulator 2,2021,February,23638,-452,51888,46%,
Stardew Valley,2021,February,38305,-18862,59709,64%,
Garry's Mod,2021,February,27741,-313,45995,60%,
Dead by Daylight,2021,February,35348,-994,52322,68%,
Dyson Sphere Program,2021,February,31811,6286,59243,54%,
War Thunder,2021,February,28602,1125,43065,66%,
Cyberpunk 2077,2021,February,24705,-57442,47115,52%,
Total War: WARHAMMER II,2021,February,28418,3795,48027,59%,
DayZ,2021,February,22224,-4112,38533,58%,
Farming Simulator 19,2021,February,17830,-1168,36777,48%,
Hearts of Iron IV,2021,February,24477,-344,38222,64%,
World of Tanks Blitz,2021,February,18714,-777,36904,51%,
The Elder Scrolls Online,2021,February,19912,762,31886,62%,
Age of Empires II: Definitive Edition,2021,February,18239,-1271,35154,52%,
Brawlhalla,2021,February,16946,913,34169,50%,
Unturned,2021,February,23556,1514,50209,47%,
Spacewar,2021,February,19607,2930,36053,54%,
